Customer Num,Company,"Address, City, State & Zip",Salesman Assigned,Postal Code,State License Num,On-Off Premise,City,County,Deliveryman Assigned
1069,Tom Thumb 3614 - Hampton,"315 S Hampton Road, Dallas, TX 75208",Brandon Byrd,75208,BQ764686,Off Premise,Dallas,Dallas,Joe Fronczek
1070,Triple D Liquor,"323 W 4th St., Weatherford, TX 76086",Taylor Coward,76086,BF721394,Off Premise,Weatherford,Parker,Ronald Streng
1083,Ill Minster,"2600 Cedar Springs Rd., Dallas, TX 75219",Harrison Boyland,75219,MB964523,On Premise,Dallas,Dallas,Joe Fronczek
1089,Arlington Liquor Store,"426 E Lamar Blvd, Arlington, TX 76011",Justin Page,76011,P909245,Off Premise,Arlington,Tarrant,James Liston
1090,Big Country Liquor Beer & Wine,"6619 Forest Hill Dr., Forest Hill, TX 76140",Justin Page,76140,P645017,Off Premise,Forest Hill,Tarrant,Jose Vital
1091,Tom Thumb 3570 - Gaston,"7331 Gaston Avenue, Dallas, TX 75214",Brandon Byrd,75214,BQ961475,Off Premise,Dallas,Dallas,James Hall
1092,Tom Thumb 3569 - Oak Lawn,"3878 Oak Lawn Avenue, Dallas, TX 75219",Brandon Byrd,75219,BQ963877,Off Premise,Dallas,Dallas,James Hall
1093,Tom Thumb 3571 - River Run,"1751 River Run, Fort Worth, TX 76107",Justin Page,76107,BQ963216,Off Premise,Fort Worth,Tarrant,Joe Fronczek
1107,Dallas Craft Company - Colleyville,"5120 HWY 121, Colleyville, TX 76034",Nathan Zaremba,76034,RM951519,On Premise,Colleyville,Tarrant,Justin Stryker
1109,On Tap,"200 N. Mesquite Street, Arlington, TX 76011",Taylor Coward,76011,BG930162,On Premise,Arlington,Tarrant,James Liston
1112,Public School 972,"14854 Montfort Drive, Addison, TX 75254",Harrison Boyland,75254,MB931724,On Premise,Addison,Dallas,Jose Vital
1114,The Backyard on Bell,"410 N. Bell Avenue, Denton, TX 76209",Nathan Zaremba,76209,MB943784,On Premise,Denton,Denton,James Liston
1118,LG Taps,"3619 Greenville Ave., Dallas, TX 75206",Mason Lowe,75206,MB966899,On Premise,Dallas,Dallas,Joe Fronczek
1119,Bluffview Growler,"3850 W. NW Hwy., Dallas, TX 75220",Mason Lowe,75220,BG964775,On Premise,Dallas,Dallas,Ronald Streng
1128,Target 2425 - Ridgemar,"751 Alta Mere Dr., Fort Worth, TX 76116",Justin Page,76116,BQ695986,Off Premise,Fort Worth,Tarrant,Joe Fronczek
1132,Target 2008 - Lake Worth,"6604 Lake Worth Blvd, Lake Worth, TX 76135",Justin Page,76135,BQ609739,Off Premise,Lake Worth,Tarrant,Ronald Streng
1133,Flamingo Liquor & Wine - Dallas,"4125 Fairmount Street, Dallas, TX 75219",Brandon Byrd,75219,BF941770,Off Premise,Dallas,Dallas,James Hall
1136,Bar 2909,"2909 Morton Street, Fort Worth, TX 76107",Taylor Coward,76107,MB937166,On Premise,Fort Worth,Tarrant,Joe Fronczek
1139,HEB 423 Waco Wooded Acres,"1301 Wooded Acres, Waco, TX 76710",Mark Molkenbuhr,76710,BF422850,Off Premise,Waco,McLennan,David Cash
1141,Book Club Cafe,"107 E Kaufman St., Rockwall, TX 75087",Hudson Boyd,75087,BG929321,On Premise,Rockwall,Rockwall,Jose Vital
1142,Baker St. Pub and Grill,"6333 Camp Bowie Blvd, Fort Worth, TX 76116",Taylor Coward,76116,MB579698,On Premise,Fort Worth,Tarrant,Joe Fronczek
1145,Rotolo's Pizzeria - Longview,"3407 N Fourth Street, Longview, TX 75605",Ronnie Esposito,75605,RM955176,On Premise,Longview,Gregg,East Texas Drivers
1154,BuzzBrews - Victory Park,"2300 Victory Park, Dallas, TX 75219",Harrison Boyland,75219,MB936417,On Premise,Dallas,Dallas,James Hall
1159,HEB 672 Valley Mills,"1821 S Valley Mills Dr., Waco, TX 76711",Mark Molkenbuhr,76711,BF812195,Off Premise,Waco,McLennan,East Texas Drivers
1160,HEB 583 Woodway,"9100 Woodway Dr., Woodway, TX 76712",Mark Molkenbuhr,76712,BQ560175,Off Premise,Woodway,McLennan,East Texas Drivers
1169,Haystack - Dallas,"3838 Oak Lawn Ave, Dalla, TX 75219",Harrison Boyland,75219,MB970324,On Premise,Dalla,Dallas,James Hall
1172,Heritage Pizza,"3750 Plano Parkway, The Colony, TX 75056",Hudson Boyd,75056,BG967878,On Premise,The Colony,Denton,James Liston
1179,HEB 631 Granbury,"3804 US-377, Granbury, TX 76049",Justin Page,76049,BF782723,Off Premise,Granbury,Hood,Joe Fronczek
1189,Bubble & Squeak,"425 Pinson Rd, Forney, TX 75126",Brandon Byrd,75126,BF968744,Off Premise,Forney,Kaufman,East Texas Drivers
1194,Bread Winners Cafe - Trophy Club,"3000 Hwy 114 E, Trophy Club, TX 76262",Nathan Zaremba,76262,RM960642,On Premise,Trophy Club,Tarrant,Justin Stryker
1198,Target 2042 - 7th Street,"301 Carroll Street, Fort Worth, TX 76107",Justin Page,76107,BQ609734,Off Premise,Fort Worth,Tarrant,Joe Fronczek
1199,America Gardens,"2833-37 Morton Street, Fort Worth, TX 76107",Taylor Coward,76107,MB957791,On Premise,Fort Worth,Tarrant,Manny Chavez
1200,EJ Wills Gastro Pub,"18208 Preston Road, Dallas, TX 75252",Hudson Boyd,75252,RM953358,On Premise,Dallas,Dallas,Jose Vital
1207,Rotolo's Pizzeria - Tyler,"8970 S. Broadway Ave., Tyler, TX 75703",Ronnie Esposito,75703,RM883727,On Premise,Tyler,Smith,East Texas Drivers
1236,Cane Rosso - W Magnolia Ave,"815 W Magnolia Ave, Fort Worth, TX 76104",Taylor Coward,76104,MB927976,On Premise,Fort Worth,Tarrant,Joe Fronczek
1237,Caskey's Bar and Grill - W Hickory St,"1206 W Hickory St, Denton, TX 76201",Nathan Zaremba,76201,MB952662,On Premise,Denton,Denton,James Liston
1238,Fixture - Kitchen and Social Lounge - W Magnolia A,"401 W Magnolia Ave, Fort Worth, TX 76104",Taylor Coward,76104,MB905218,On Premise,Fort Worth,Tarrant,Joe Fronczek
1240,LSA Burger Co. - W Hickory St,"113 W Hickory St, Denton, TX 76201",Nathan Zaremba,76201,RM839263,On Premise,Denton,Denton,James Liston
1241,Oni Ramen - W 7th St,"2801 W 7th St, Forth Worth, TX 76107",Taylor Coward,76107,MB972766,On Premise,Forth Worth,Tarrant,Joe Fronczek
1242,Terra Mediterranean Grill - Crockett ST,"2973 Crockett St, Fort Worth, TX 76107",Taylor Coward,76107,MB739599,On Premise,Fort Worth,Tarrant,Joe Fronczek
1243,Tributary Cafe - Race St,"2813 Race St, Fort Worth, TX 76111",Taylor Coward,76111,MB960210,On Premise,Fort Worth,Tarrant,Joe Fronczek
1246,Sugarbacon - McKinney,"216 W. Virginia Street, McKinney, TX 75069",Hudson Boyd,75069,RM901412,On Premise,McKinney,Collin,Ronald Streng
1248,Varsity Tavern,"1005 Norwood Street, Fort Worth, TX 76107",Taylor Coward,76107,MB925257,On Premise,Fort Worth,Tarrant,Joe Fronczek
1252,World Market #6399 - Addison,"13912 Dallas Parkway, Dallas, TX 75240",Brandon Byrd,75240,BQ952284,Off Premise,Dallas,Dallas,Jose Vital
1253,Tom Thumb 3312 - W 7th St,"2400 W 7th St, Fort Worth, TX 76107",Justin Page,76107,BG964279,Off Premise,Fort Worth,Tarrant,Joe Castro
1258,Neighbors Food N Brews - Richardson,"508 W Lookout Dr, Richardson, TX 75080",Brian Schick,75080,BQ971446,Off Premise,Richardson,Collin,Ronald Streng
1265,Radisson Fort Worth North,"2540 Meacham Blvd., Fort Worth, TX 76106",Taylor Coward,76106,MB661028,On Premise,Fort Worth,Tarrant,Joe Fronczek
1268,Happiest Hour,"2616 Olive Street, Dallas, TX 75201",Harrison Boyland,75201,MB918752,On Premise,Dallas,Dallas,Joe Fronczek
1277,Fox & Hound - Dallas,"18918 Midway Road, Dallas, TX 75287",Hudson Boyd,75287,N260044,On Premise,Dallas,Collin,Michael Weldon
1281,Prohibition Chicken - Lewisville,"201 W Church St, Lewisville, TX 75057",Nathan Zaremba,75057,RM974213,On Premise,Lewisville,Denton,James Liston
1301,6S Spirits - Trophy Club,"2003 E Highway 114 STE 425, Trophy Club, TX 76262",Jeff Martin,76262,BF915826,Off Premise,Trophy Club,Denton,Justin Stryker
1302,6S Liquor - Little Elm,"26411 Hwy 380 Suite B, Little Elm, TX 76227",Jeff Martin,76227,BF947009,Off Premise,Little Elm,Denton,Michael Weldon
1307,"OV-10 Bronco Association, Inc.","3300 Ross Avenue, Fort Worth, TX 76106",House Accounts DFW,76106,SB2926594,On Premise,Fort Worth,Tarrant,James Liston
1309,The Sunshine Club,"902 W Division St, Arlington, TX 76012",Taylor Coward,76012,MB214978,On Premise,Arlington,Tarrant,James Liston
1310,Come and Take It,"301 E. Larkin Street, Athens, TX 75751",Ronnie Esposito,75751,BQ829051,On Premise,Athens,Henderson,East Texas Drivers
1311,Dough Bro's Italian Kitchen - The Colony,"2851 Plano Pkwy, The Colony, TX 75056",Hudson Boyd,75056,MB967679,On Premise,The Colony,Denton,James Liston
1316,Henderson Kitchen & Tap,"2730 S. Central Expwy., McKinney, TX 75070",Hudson Boyd,75070,RM974509,On Premise,McKinney,Collin,Ronald Streng
1317,Lakeway Liquor - Gainesville,"7750 E US Highway 82, Gainesville, TX 76240",Brian Schick,76240,BF649839,Off Premise,Gainesville,Cooke,James Liston
1319,Free Play Arcade - Arlington,"400 E South St, Arlington, TX 76010",Taylor Coward,76010,MB968834,On Premise,Arlington,Tarrant,James Liston
1321,Denton County Brewing Company,"200 E McKinney St, Denton, TX 76201",Nathan Zaremba,76201,BG942111,On Premise,Denton,Denton,James Liston
1324,Tom Thumb 3854 - WD Tate,"4000 William D Tate Ave., Grapevine, TX 76051",Jeff Martin,76051,BQ970270,Off Premise,Grapevine,Tarrant,Justin Stryker
1326,Target 2145 - S. Loop 288,"1801 S. Loop 288, Denton, TX 76205",Jeff Martin,76205,BQ648231,Off Premise,Denton,Denton,James Liston
1328,Bread Winners Cafe - Fort Worth,"1612 S University Dr, Fort Worth, TX 76107",Taylor Coward,76107,MB978142,On Premise,Fort Worth,Tarrant,Joe Fronczek
1329,Total Wine #521 - Allen,"190 East Stacy Rd, Allen, TX 75002",Torie Shelton,75002,BF969026,Off Premise,Allen,Collin,Ronald Streng
1330,The Franchise Grill & Bar,"3000 Custer Rd #345, Plano, TX 75075",Hudson Boyd,75075,RM702183,On Premise,Plano,Collin,Ronald Streng
1331,Lava Cantina - The Colony,"5805 Grandscape Blvd, The Colony, TX 75056",Hudson Boyd,75056,MB834517,On Premise,The Colony,Denton,James Liston
1334,Caps & Flasks,"109 N. Davis Street, Sulphur Springs, TX 75482",Ronnie Esposito,75482,RM949395,On Premise,Sulphur Springs,Hopkins,East Texas Drivers
1344,Imperial Ale & Spirits,"717 S Interstate 35 E #132, Denton, TX 76205",Jeff Martin,76205,BF898358,Off Premise,Denton,Denton,James Liston
1345,Dukes Travel Plaza,"Dukes Travel Plaza, Canton, TX 75103",Ronnie Esposito,75103,BQ972836,Off Premise,Canton,Van Zandt,East Texas Drivers
1347,Stan's Lakeview Draft House,"4847 Main St, The Colony, TX 75056",Hudson Boyd,75056,MB893985,On Premise,The Colony,Denton,James Liston
1349,Tom Thumb 3853 - Hardin Blvd - McKinney,"3001 Hardin Blvd, McKinney, TX 75070",Brian Schick,75070,BQ970269,Off Premise,McKinney,Collin,Ronald Streng
1350,Target 1922 - Burleson,"200 NW John Jones Drive, Burleson, TX 76028",Justin Page,76028,BQ651551,Off Premise,Burleson,Johnson,Jose Vital
1351,Tarrant Liquor,"5250 N. Tarrant Pkwy., Fort Worth, TX 76137",Jeff Martin,76137,BF968387,Off Premise,Fort Worth,Tarrant,Justin Stryker
1377,Brookshire Grocery #135 - Mt. Pleasant,"308 Ferguson rd, Mount Pleasant, TX 75455",Justin Page,75455,BQ967428,Off Premise,Mount Pleasant,Titus,Jose Vital
1378,Brookshire Grocery #74 - Greenville,"6410 Wesley St, Greenville, TX 75401",Torie Shelton,75401,BQ711768,Off Premise,Greenville,Hunt,East Texas Drivers
1380,Target 1517 - Flower Mound,"5959 Long Prairie Road, Flower Mound, TX 75028",Jeff Martin,75028,BQ529591,Off Premise,Flower Mound,Denton,James Liston
1381,Brookshire Grocery #52 - Commerce,"1603 Culver Street, Commerce, TX 75428",Torie Shelton,75428,BQ567045,Off Premise,Commerce,Hunt,East Texas Drivers
1383,Brookshire Grocery #126 - Springtown,"501 Hwy 199 E, Springtown, TX 76082",Jeff Martin,76082,BQ764490,Off Premise,Springtown,Parker,Justin Stryker
1384,Brookshire Grocery #73 - Celina,"675 Sunset Boulevard, Celina, TX 75009",Brian Schick,75009,BQ638237,Off Premise,Celina,Collin,Ronald Streng
1386,Brookshire Grocery #133 - Joshua,"1001 Joshua Station Boulevard, Joshua, TX 76058",Justin Page,76058,BQ795622,Off Premise,Joshua,Johnson,Jose Vital
1387,Brookshire Grocery #79 - Farmersville,"1705 W Audie Murphy Parkway, Farmersville, TX 75442",Brian Schick,75442,BQ739137,Off Premise,Farmersville,Collin,Jose Vital
1388,Brookshire Grocery #94 - Granbury,"1301 S Morgan Street, Granbury, TX 76048",Justin Page,76048,BQ574852,Off Premise,Granbury,Hood,Joe Fronczek
1389,Brookshire Grocery #124 - Lake Worth,"6708 Lake Worth Boulevard, Lake Worth, TX 76135",Justin Page,76135,BQ604066,Off Premise,Lake Worth,Tarrant,Justin Stryker
1390,Brookshire Grocery #125 - Azle,"511 N Stewart Street, Azle, TX 76020",Jeff Martin,76020,BQ568625,Off Premise,Azle,Tarrant,Ronald Streng
1391,Lekka Henderson,"1921 N. Henderson Ave., Dallas, TX 75206",Mason Lowe,75206,MB976468,On Premise,Dallas,Dallas,Joe Fronczek
1396,Super 1 Foods #615 - Greenville,"4811 Wesley St, Greenville, TX 75401",Torie Shelton,75401,BQ711769,Off Premise,Greenville,Hunt,East Texas Drivers
1400,Pie 3.14 Everyday Eatery,"2560 King Arthur Blvd., Lewisville, TX 75056",Nathan Zaremba,75056,RM872137,On Premise,Lewisville,Denton,Michael Weldon
1402,The Central Station,"103 N. Main Street, Gladewater, TX 75647",Ronnie Esposito,75647,BG977122,On Premise,Gladewater,Gregg,East Texas Drivers
1405,Applejack's Liquor - Denton,"345 E. Hickory Street, Denton, TX 76201",Jeff Martin,76201,BF977307,Off Premise,Denton,Denton,Michael Weldon
1406,Brookshire Grocery #106 - Seagoville,"125. Hall Road, Seagoville, TX 75159",Ronnie Esposito,75159,BQ828152,Off Premise,Seagoville,Dallas,East Texas Drivers
1407,Brookshire Grocery #119 - Weatherford,"601 W Palo Pinto, Weatherford, TX 76086",Taylor Coward,76086,BQ715045,Off Premise,Weatherford,Parker,Ronald Streng
1408,Brookshire Grocery #97 - Aledo,"5118 IH 20E South, Aledo, TX 76008",Taylor Coward,76008,BQ613958,Off Premise,Aledo,Parker,Ronald Streng
1409,Brookshire Grocery #35 - Kaufman,"2235 S Washington, Kaufman, TX 75142",Brandon Byrd,75142,BQ580229,Off Premise,Kaufman,Kaufman,East Texas Drivers
1411,Cowburners,"109 N. Johnson Street, Mineloa, TX 75773",Ronnie Esposito,75773,BG966485,On Premise,Mineloa,Wood,East Texas Drivers
1413,Brookshire Grocery #89 - Forney,"427 Pinson Road, Forney, TX 75126",Brandon Byrd,75126,BQ796253,Off Premise,Forney,Kaufman,Jose Vital
1414,Brookshire Grocery #129 - Denton,"719 IH 35E South, Denton, TX 76205",Jeff Martin,76205,BQ578595,Off Premise,Denton,Denton,James Liston
1416,Brookshire Grocery #108 - Red Oak,"105 E Ovilla Rd, Red Oak, TX 75154",Brandon Byrd,75154,BQ751012,Off Premise,Red Oak,Ellis,Joe Fronczek
1417,Brookshire Grocery #87 - Quinlan,"8934 HWY 34 SOUTH, Quinlan, TX 75474",Torie Shelton,75474,BQ764902,Off Premise,Quinlan,Hunt,East Texas Drivers
1425,City Works - Frisco,"3680 The Star Blvd., Frisco, TX 75034",Hudson Boyd,75034,RM981575,On Premise,Frisco,Collin,Ronald Streng
1428,Wild Pitch - Fort Worth,"4701 Citylake Blvd. W, Fort Worth, TX 76132",Taylor Coward,76132,RM974348,On Premise,Fort Worth,Tarrant,Joe Fronczek
1430,The Colonnade Executive Lounge,"15305 Dallas Parkway Suite 125, Addison, TX 75001",Harrison Boyland,75001,MB726778,On Premise,Addison,Dallas,Jose Vital
1441,Tom Thumb 2557 - Gainsville,"206 N. Grand, Grainsville, TX 76240",Brian Schick,76240,BQ528916,Off Premise,Grainsville,Cooke,James Liston
1442,Total Wine #513 - Plano Pkwy,"6400 W Plano Pkwy, Plano, TX 75093",Torie Shelton,75093,BF962761,Off Premise,Plano,Collin,Ronald Streng
1443,Athens Boathouse Restaurant,"5401 Marina Drive, Athens, TX 75752",Ronnie Esposito,75752,RM974426,On Premise,Athens,Henderson,East Texas Drivers
1445,Skinner's Grocery & Market,"1708 Judson Road, Longview, TX 75605",Ronnie Esposito,75605,BF681479,Off Premise,Longview,Gregg,East Texas Drivers
1446,Spirit of a Hero Foundation,"2221 Justin Road, Flower Mound, TX 75028",House Accounts DFW,75028,TB3041924,On Premise,Flower Mound,Denton,None
1447,Guitars & Growlers,"581 W. Campbell Road, Richardson, TX 75080",Harrison Boyland,75080,BG979792,On Premise,Richardson,Dallas,Jose Vital
1449,Pinstack - Irving,"2750 W. IH635, Irving, TX 75063",Nathan Zaremba,75063,RM932899,On Premise,Irving,Dallas,Ronald Streng
1454,Mad Batter Baker,"15615 Quorum Drive, Addison, TX 75001",Harrison Boyland,75001,BG989600,On Premise,Addison,Dallas,Jose Vital
1455,Wolfgang Puck Catering at Union Station,"400 S Houston St, Dallas, TX 75202",House Accounts DFW,75202,MB707504,On Premise,Dallas,Dallas,James Liston
1456,HEB 426 Waxahachie,"800 N. Highway 77, Waxahachie, TX 75165",Brandon Byrd,75165,BQ715301,Off Premise,Waxahachie,Ellis,David Cash
1461,Southern Ground Bottle Company Inc - Lindale,"305 East Hubbard St. Suite C, Lindale, TX 75771",Ronnie Esposito,75771,BQ965650,On Premise,Lindale,Smith,East Texas Drivers
1464,Wise Guys Pizzeria - Roanoke,"311 South Oak Street, Roanoke, TX 76262",Nathan Zaremba,76262,BG974313,On Premise,Roanoke,Denton,Justin Stryker
1466,Discovery at the Realm,"3600 Windhaven Pkwy., Lewisville, TX 75056",Nathan Zaremba,75056,BG952919,On Premise,Lewisville,Denton,James Liston
1467,AllGood Cafe,"2934 Main St, Dallas, TX 75226",Mason Lowe,75226,BG476898,On Premise,Dallas,Dallas,Joe Fronczek
1468,Grub Burger Bar - Tyler,"6421 South Broadway Street, Tyler, TX 75707",Ronnie Esposito,75707,RM930659,On Premise,Tyler,Smith,East Texas Drivers
1469,Vaughn's Pizzeria and Draft House,"6050 Long Prairie Rd Suite 900, Flower Mound, TX 75028",Nathan Zaremba,75028,BG1001681,On Premise,Flower Mound,Denton,James Liston
1471,District 30 Gastropub,"3211 Oak Lawn Ave, Dallas, TX 75219",Harrison Boyland,75219,MB905671,On Premise,Dallas,Dallas,Joe Fronczek
1472,South Tyler Speakeasy,"16884 FM 2493, Tyler, TX 75703",Ronnie Esposito,75703,N 555057,On Premise,Tyler,Smith,East Texas Drivers
1483,Applejack's Liquor - Lewisville,"495 Hwy 121, Lewisville, TX 75067",Jeff Martin,75067,BF939027,Off Premise,Lewisville,Denton,James Liston
1485,Scotties #1,"401 W. Hawkins Pkwy., Longview, TX 75605",Ronnie Esposito,75605,BF851762,Off Premise,Longview,Gregg,East Texas Drivers
1486,Scotties #2,"1155 E. Hawkins Pkwy., Longview, TX 75605",Ronnie Esposito,75605,BF977934,Off Premise,Longview,Gregg,East Texas Drivers
1487,Harley's #22,"600 E. Marshall Ave., Longview, TX 75601",Ronnie Esposito,75601,P692931,Off Premise,Longview,Gregg,East Texas Drivers
1488,Harley's #19,"1302 Loop 281 West, Longview, TX 75604",Ronnie Esposito,75604,P692937,Off Premise,Longview,Gregg,East Texas Drivers
1489,Herb & Dee's Break Room,"1408 W. Marshall Ave., Longview, TX 75604",Ronnie Esposito,75604,N921491,On Premise,Longview,Gregg,East Texas Drivers
1496,Dough Bro's Italian Kitchen,"5181 Keller Springs, Dallas, TX 75248",Harrison Boyland,75248,RM772303,On Premise,Dallas,Dallas,Jose Vital
1497,Whistle Britches - Dallas,"6110 Frankford Road, Dallas, TX 75252",Hudson Boyd,75252,RM896002,On Premise,Dallas,Dallas,Jose Vital
1500,Cigarette Mart - Lewisville,"998 N. Garden Ridge Blvd., Lewisville, TX 75077",Jeff Martin,75077,BQ798936,Off Premise,Lewisville,Denton,James Liston
1501,Muddy Jake's Sports Grille & Pub,"229 Main St, Sulphur Springs, TX 75482",Ronnie Esposito,75482,RM857153,On Premise,Sulphur Springs,Hopkins,East Texas Drivers
1504,Museum Hospitality Inc. - Kimbell Art Museum,"3333 Camp Bowie Blvd., Fort Worth, TX 76107",Taylor Coward,76107,BG440055,On Premise,Fort Worth,Tarrant,Joe Fronczek
1507,Scotties - Rockwall,"2860 Ridge Road, Rockwall, TX 75032",Brandon Byrd,75032,BF693288,Off Premise,Rockwall,Rockwall,James Hall
1513,WFM #10627 - Irving,"6741 N. MacArthur Blvd., Irving, TX 75039",Justin Page,75039,BG941010,Off Premise,Irving,Dallas,Michael Weldon
1514,Cheer Spirits & Liquor - Longhorn Rd,"1201 Longhorn Rd Suite 125, Fort Worth, TX 76179",Justin Page,76179,BF977479,Off Premise,Fort Worth,Tarrant,Justin Stryker
1517,Big Papa's Liquor - Longview,"880 E Loop 281, Longview, TX 75605",Ronnie Esposito,75605,BF759422,Off Premise,Longview,Gregg,East Texas Drivers
1518,3 Flights Up,"2832 Eldorado Pkwy, Little Elm, TX 75068",Hudson Boyd,75068,BG971775,On Premise,Little Elm,Denton,James Liston
1519,Cooter's Spirits,"300 W. Walcott, Jefferson, TX 75657",Ronnie Esposito,75657,BF759224,Off Premise,Jefferson,Marion,East Texas Drivers
1520,Auntie Skinners Riverboat Club,"107 W. Austin Street, Jefferson, TX 75657",Ronnie Esposito,75657,RM818638,On Premise,Jefferson,Marion,East Texas Drivers
1523,Panther Quick Stop,"4405 GIlmer Road, Longview, TX 75604",Ronnie Esposito,75604,BQ976205,Off Premise,Longview,Gregg,East Texas Drivers
1524,Twisted Sisters Wine & Finds,"104 E. Market Street, Mabank, TX 75147",Ronnie Esposito,75147,BG976924,Off Premise,Mabank,Kaufman,East Texas Drivers
1525,Hopdoddy - Fort Worth,"2300 W. 7th Street, Fort Worth, TX 76107",Taylor Coward,76107,MB987209,On Premise,Fort Worth,Tarrant,Joe Fronczek
1528,Roast Social Kitchen - Tyler,"1125 E 5th St, Tyler, TX 75701",Ronnie Esposito,75701,RM910339,On Premise,Tyler,Smith,East Texas Drivers
1530,Thumbs Up Liquor & Tobacco - Sherman,"1711 N FM 1417, Sherman, TX 75092",Brian Schick,75092,BF985824,Off Premise,Sherman,Grayson,Jose Vital
1532,Houston's Discount,"8886 Hwy 34 South, Quinline, TX 75474",Brandon Byrd,75474,BF770746,Off Premise,Quinline,Hunt,Jose Vital
1533,Gilmer Beer Barn,"1002 Hwy 154 West, Gilmer, TX 75644",Ronnie Esposito,75644,BQ953024,Off Premise,Gilmer,Upshur,East Texas Drivers
1534,The Chuggin Monk,"2301 N. Collins Street, Arlington, TX 76011",Taylor Coward,76011,MB869171,On Premise,Arlington,Tarrant,Ronald Streng
1539,Spec's #80 - Wichita Falls,"4319 Kemp Blvd., Wichita Falls, TX 76308",Nathan Zaremba,76308,BF987341,Off Premise,Wichita Falls,Wichita,James Liston
1542,Allen Liquor 4 U,"1210 E. Main Street, Allen, TX 75002",Brian Schick,75002,BF949111,Off Premise,Allen,Collin,Ronald Streng
1543,The Lazy Moose,"1404 West Magnolia Ave., Fort Worth, TX 76104",Taylor Coward,76104,MB961330,On Premise,Fort Worth,Tarrant,Joe Fronczek
1548,Harlowe MXM,"2823 Main Street, Dallas, TX 75226",Mason Lowe,75226,MB973529,On Premise,Dallas,Dallas,Joe Fronczek
1549,Ellen's Southern Kitchen,"1701 N. Market Street, Dallas, TX 75202",Mason Lowe,75202,MB819540,On Premise,Dallas,Dallas,James Hall
1550,Stop & Get One,"6940 Baker Blvd., Richland Hills, TX 76118",Justin Page,76118,BQ493311,Off Premise,Richland Hills,Tarrant,Justin Stryker
1551,Raymond's Liquor Stop,"8111 Hwy 287, Arlington, TX 76001",Justin Page,76001,BF908242,Off Premise,Arlington,Tarrant,James Liston
1553,The Boardroom Whisky and Cigar Lounge,"1708 8th Avenue, Fort Worth, TX 76110",Taylor Coward,76110,MB9797498,On Premise,Fort Worth,Tarrant,Joe Fronczek
1561,Reggis Liquor #32,"7355 N. Beach Street, Fort Worth, TX 76137",Jeff Martin,76137,BF980461,Off Premise,Fort Worth,Tarrant,Justin Stryker
1563,1836 Texas Kitchen,"2467 Crow Road, Tyler, TX 75703",Ronnie Esposito,75703,RM972197,On Premise,Tyler,Smith,East Texas Drivers
1565,Northside Remedy,"215 N MAIN STREET, Weatherford, TX 76086",Taylor Coward,76086,N 982410,On Premise,Weatherford,Parker,Ronald Streng
1566,Pecan Point Brewing - Texarkana,"213 Main St., Texarkana, TX 75501",Ronnie Esposito,75501,RM872401,On Premise,Texarkana,Bowie,East Texas Drivers
